,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
1795,[-0.15513599],[-0.087],[0.693],[0.78],[0.84813599],[0.78]
1796,[-0.02691483],[-0.022],[0.908],[0.93],[0.93491483],[0.93]
1797,[0.15315033],[-0.065],[1.005],[1.07],[0.85184967],[1.07]
1798,[0.08215018],[-0.088],[0.982],[1.07],[0.89984982],[1.07]
1799,[-0.10936488],[-0.226],[1.054],[1.28],[1.16336488],[1.28]
1800,[-0.17941414],[-0.122],[1.458],[1.58],[1.63741414],[1.58]
1801,[-0.11597569],[0.277],[2.207],[1.93],[2.32297569],[1.93]
1802,[-0.29864714],[-0.73],[2.88],[3.61],[3.17864714],[3.61]
1803,[-0.09435229],[-0.514],[3.146],[3.66],[3.24035229],[3.66]
1804,[0.01267775],[-0.275],[2.605],[2.88],[2.59232225],[2.88]
1805,[-0.02529773],[-0.433],[1.807],[2.24],[1.83229773],[2.24]
1806,[-0.01216391],[-0.472],[1.298],[1.77],[1.31016391],[1.77]
1807,[-0.03132641],[-0.373],[1.087],[1.46],[1.11832641],[1.46]
1808,[0.08665054],[-0.32],[1.],[1.32],[0.91334946],[1.32]
1809,[0.15888189],[-0.201],[1.029],[1.23],[0.87011811],[1.23]
1810,[0.12500063],[-0.1],[1.],[1.1],[0.87499937],[1.1]
1811,[-0.01418883],[-0.101],[0.869],[0.97],[0.88318883],[0.97]
1812,[-0.00584077],[-1.053],[0.767],[1.82],[0.77284077],[1.82]
1813,[-0.6826331],[-1.666],[1.394],[3.06],[2.0766331],[3.06]
1814,[0.16246325],[-0.983],[2.377],[3.36],[2.21453675],[3.36]
1815,[-0.498629],[-1.543],[3.287],[4.83],[3.785629],[4.83]
1816,[0.2613199],[-0.891],[3.969],[4.86],[3.70768009],[4.86]
1817,[0.23220366],[-1.626],[3.654],[5.28],[3.42179634],[5.28]
1818,[-0.07085309],[-1.911],[3.539],[5.45],[3.60985309],[5.45]
1819,[0.06287604],[-1.011],[3.049],[4.06],[2.98612396],[4.06]
1820,[0.00459362],[-0.91],[2.14],[3.05],[2.13540638],[3.05]
1821,[0.00823674],[-0.786],[1.504],[2.29],[1.49576326],[2.29]
1822,[0.0027867],[-0.554],[1.226],[1.78],[1.2232133],[1.78]
1823,[-0.0059102],[-0.388],[1.062],[1.45],[1.0679102],[1.45]
1824,[0.01464107],[-0.268],[1.052],[1.32],[1.03735893],[1.32]
1825,[0.04492473],[-0.132],[1.028],[1.16],[0.98307527],[1.16]
1826,[-0.07890541],[-0.128],[0.872],[1.],[0.95090541],[1.]
1827,[-0.04978296],[-0.183],[0.877],[1.06],[0.92678296],[1.06]
1828,[0.10969719],[-0.371],[1.099],[1.47],[0.98930281],[1.47]
1829,[-0.25445494],[0.001],[2.051],[2.05],[2.30545494],[2.05]
1830,[0.2594027],[0.643],[2.523],[1.88],[2.26359731],[1.88]
1831,[0.0312264],[0.272],[1.882],[1.61],[1.8507736],[1.61]
1832,[-0.01076114],[0.058],[1.418],[1.36],[1.42876114],[1.36]
1833,[-0.16093913],[0.123],[1.553],[1.43],[1.71393913],[1.43]
1834,[-0.24227482],[0.534],[2.264],[1.73],[2.50627482],[1.73]
1835,[0.01082945],[0.679],[2.249],[1.57],[2.23817055],[1.57]
1836,[0.01096865],[0.309],[1.639],[1.33],[1.62803135],[1.33]
1837,[0.00631026],[0.151],[1.301],[1.15],[1.29468974],[1.15]
1838,[-0.01045798],[0.111],[1.141],[1.03],[1.15145798],[1.03]
