,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
353,[0.14655773],[0.183],[1.433],[1.25],[1.28644227],[1.25]
354,[0.2957312],[-1.3],[0.7],[2.],[0.40426881],[2.]
355,[0.35189328],[-2.391],[0.609],[3.],[0.25710672],[3.]
356,[-0.6327877],[-1.401],[1.999],[3.4],[2.6317877],[3.4]
357,[-0.67035544],[-1.098],[2.202],[3.3],[2.87235544],[3.3]
358,[-0.8350436],[0.237],[2.257],[2.02],[3.09204361],[2.02]
359,[-0.12101492],[0.313],[1.223],[0.91],[1.34401492],[0.91]
360,[0.15172146],[-1.086],[0.794],[1.88],[0.64227854],[1.88]
361,[-0.92285407],[0.364],[1.984],[1.62],[2.90685407],[1.62]
362,[-0.41974956],[-0.681],[1.609],[2.29],[2.02874956],[2.29]
363,[-0.8621457],[-2.213],[1.157],[3.37],[2.01914572],[3.37]
364,[-0.6915925],[-2.091],[4.659],[6.75],[5.35059251],[6.75]
365,[0.29183567],[2.816],[7.686],[4.87],[7.39416433],[4.87]
366,[-0.02461803],[0.716],[2.966],[2.25],[2.99061803],[2.25]
367,[-0.92953557],[-1.322],[2.128],[3.45],[3.05753557],[3.45]
368,[-0.91142386],[-1.362],[2.568],[3.93],[3.47942386],[3.93]
369,[-0.83862805],[-0.006],[2.654],[2.66],[3.49262805],[2.66]
370,[-0.9743642],[0.064],[3.094],[3.03],[4.06836422],[3.03]
371,[-0.50071806],[0.355],[1.875],[1.52],[2.37571806],[1.52]
372,[-0.23723054],[-0.017],[1.253],[1.27],[1.49023054],[1.27]
373,[-0.49691272],[-1.247],[1.413],[2.66],[1.90991272],[2.66]
374,[-0.39578363],[-0.184],[1.336],[1.52],[1.73178363],[1.52]
375,[-0.7562562],[-1.049],[1.771],[2.82],[2.52725622],[2.82]
376,[-0.0793735],[0.263],[1.343],[1.08],[1.4223735],[1.08]
377,[0.2965165],[0.526],[1.116],[0.59],[0.81948349],[0.59]
378,[0.37262177],[0.448],[0.978],[0.53],[0.60537823],[0.53]
379,[0.34210527],[0.346],[0.856],[0.51],[0.51389473],[0.51]
380,[0.29786563],[0.359],[0.749],[0.39],[0.45113437],[0.39]
381,[0.28533414],[0.346],[0.656],[0.31],[0.37066586],[0.31]
382,[0.27744097],[0.315],[0.575],[0.26],[0.29755903],[0.26]
383,[0.2771419],[0.275],[0.505],[0.23],[0.2278581],[0.23]
384,[0.2905784],[0.251],[0.441],[0.19],[0.1504216],[0.19]
385,[0.2171872],[0.215],[0.385],[0.17],[0.1678128],[0.17]
386,[0.02830954],[0.109],[0.409],[0.3],[0.38069046],[0.3]
387,[0.04586948],[-0.097],[0.433],[0.53],[0.38713052],[0.53]
388,[-0.88495314],[-1.456],[2.384],[3.84],[3.26895314],[3.84]
389,[-0.94476205],[-0.121],[2.629],[2.75],[3.57376205],[2.75]
390,[-0.75478834],[-1.322],[3.928],[5.25],[4.68278834],[5.25]
391,[-0.5537497],[0.208],[2.448],[2.24],[3.00174968],[2.24]
392,[-0.09804611],[-0.403],[0.887],[1.29],[0.98504611],[1.29]
393,[0.15100469],[-0.29],[0.76],[1.05],[0.60899531],[1.05]
394,[-0.6452891],[-1.443],[0.957],[2.4],[1.60228912],[2.4]
395,[-0.5356297],[-0.262],[0.948],[1.21],[1.48362969],[1.21]
396,[-0.22013552],[0.095],[0.835],[0.74],[1.05513552],[0.74]
397,[-0.90349853],[-0.291],[0.859],[1.15],[1.76249853],[1.15]
398,[-0.15714264],[0.006],[0.816],[0.81],[0.97314264],[0.81]
399,[-0.3188878],[-2.422],[0.808],[3.23],[1.1268878],[3.23]
400,[-1.0333757],[2.784],[7.884],[5.1],[8.91737574],[5.1]
401,[-0.7862741],[2.162],[4.192],[2.03],[4.97827408],[2.03]
402,[-0.3776123],[-3.423],[1.297],[4.72],[1.67461229],[4.72]
403,[-0.3501441],[-0.712],[4.118],[4.83],[4.46814409],[4.83]
404,[-0.407424],[1.792],[3.722],[1.93],[4.129424],[1.93]
405,[-0.7332782],[0.859],[2.069],[1.21],[2.80227821],[1.21]
406,[-0.20381145],[0.364],[1.154],[0.79],[1.35781145],[0.79]
407,[-0.24051596],[0.545],[1.325],[0.78],[1.56551596],[0.78]
408,[-0.08890508],[0.71],[1.38],[0.67],[1.46890508],[0.67]
409,[-0.12236974],[0.641],[1.131],[0.49],[1.25336974],[0.49]
410,[-0.2752793],[0.601],[1.001],[0.4],[1.27627931],[0.4]
411,[-0.26361924],[0.294],[0.884],[0.59],[1.14761924],[0.59]
412,[0.83661646],[-1.184],[0.896],[2.08],[0.05938354],[2.08]
413,[0.5412083],[0.051],[0.841],[0.79],[0.29979167],[0.79]
414,[0.20949908],[0.273],[0.743],[0.47],[0.53350092],[0.47]
415,[0.53071654],[0.227],[0.667],[0.44],[0.13628346],[0.44]
416,[0.37105006],[0.184],[0.604],[0.42],[0.23294994],[0.42]
417,[1.098871],[0.034],[0.544],[0.51],[-0.55487099],[0.51]
418,[0.97958016],[0.078],[0.488],[0.41],[-0.49158016],[0.41]
419,[0.9443672],[0.073],[0.433],[0.36],[-0.51136717],[0.36]
420,[0.91397035],[0.042],[0.382],[0.34],[-0.53197035],[0.34]
421,[0.4641903],[0.048],[0.438],[0.39],[-0.0261903],[0.39]
422,[0.65271175],[0.035],[0.755],[0.72],[0.10228825],[0.72]
423,[0.9683428],[-0.046],[0.624],[0.67],[-0.34434278],[0.67]
424,[0.6989957],[0.096],[0.546],[0.45],[-0.15299571],[0.45]
425,[0.21482164],[0.758],[1.208],[0.45],[0.99317836],[0.45]
426,[0.5326073],[0.418],[0.788],[0.37],[0.25539268],[0.37]
427,[0.21421838],[0.249],[0.589],[0.34],[0.37478162],[0.34]
428,[-0.10892923],[0.495],[0.835],[0.34],[0.94392923],[0.34]
429,[0.15049335],[0.172],[0.892],[0.72],[0.74150665],[0.72]
430,[1.0677959],[0.469],[5.319],[4.85],[4.25120413],[4.85]
431,[1.5277001],[3.198],[5.228],[2.03],[3.70029993],[2.03]
432,[0.81582844],[0.98],[1.76],[0.78],[0.94417156],[0.78]
433,[0.54606175],[0.153],[0.933],[0.78],[0.38693825],[0.78]
434,[0.41064358],[-0.036],[0.834],[0.87],[0.42335642],[0.87]
435,[0.15468752],[0.582],[2.002],[1.42],[1.84731248],[1.42]
436,[1.0481042],[1.242],[1.972],[0.73],[0.92389583],[0.73]
437,[0.57126456],[0.512],[0.982],[0.47],[0.41073544],[0.47]
438,[0.32793954],[0.46],[0.85],[0.39],[0.52206046],[0.39]
439,[0.14258476],[0.423],[0.753],[0.33],[0.61041524],[0.33]
440,[0.04191092],[0.397],[0.667],[0.27],[0.62508908],[0.27]
441,[0.02350328],[-0.045],[0.605],[0.65],[0.58149672],[0.65]
442,[-0.00116552],[3.461],[9.461],[6.],[9.46216552],[6.]
443,[0.20723946],[2.001],[4.341],[2.34],[4.13376054],[2.34]
444,[-0.08846999],[1.821],[4.851],[3.03],[4.93946999],[3.03]
445,[-0.00257034],[6.151],[10.241],[4.09],[10.24357034],[4.09]
446,[-0.21382664],[-4.095],[3.955],[8.05],[4.16882664],[8.05]
447,[0.91201043],[-14.262],[17.138],[31.4],[16.22598957],[31.4]
448,[1.0291232],[1.556],[8.576],[7.02],[7.54687681],[7.02]
449,[0.23971882],[-0.823],[5.017],[5.84],[4.77728118],[5.84]
450,[-0.15435088],[1.002],[4.512],[3.51],[4.66635088],[3.51]
451,[-0.32430592],[2.37],[4.07],[1.7],[4.39430592],[1.7]
452,[-0.8364261],[-2.236],[3.594],[5.83],[4.43042608],[5.83]
453,[-0.16162738],[1.624],[5.554],[3.93],[5.71562738],[3.93]
454,[-0.5913307],[2.296],[4.046],[1.75],[4.63733071],[1.75]
455,[-0.74903685],[0.8],[1.97],[1.17],[2.71903685],[1.17]
456,[-0.06813856],[0.713],[1.403],[0.69],[1.47113856],[0.69]
457,[-0.25095066],[0.723],[1.263],[0.54],[1.51395066],[0.54]
458,[-0.20955883],[0.463],[1.133],[0.67],[1.34255883],[0.67]
459,[-0.2836137],[0.201],[1.011],[0.81],[1.29461371],[0.81]
460,[-0.4258031],[0.441],[0.901],[0.46],[1.3268031],[0.46]
461,[-0.42867684],[0.345],[0.805],[0.46],[1.23367684],[0.46]
462,[-0.42137194],[0.307],[0.727],[0.42],[1.14837194],[0.42]
463,[-0.4481738],[0.234],[0.704],[0.47],[1.15217379],[0.47]
