date        time     P_O_Myra_131moh   T_Myra_131moh   T_Myra_131moh          Q_Myra 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
05.05.2006  00:00:00           0.000          11.730          11.730           1.060 
06.05.2006  00:00:00           0.000          12.290          12.290           0.670 
07.05.2006  00:00:00           0.000          12.430          12.430           0.550 
08.05.2006  00:00:00           0.000          11.710          11.710           0.450 
09.05.2006  00:00:00           0.000          11.060          11.060           0.420 
10.05.2006  00:00:00           0.000          10.830          10.830           0.340 
11.05.2006  00:00:00           0.000           9.450           9.450           0.280 
12.05.2006  00:00:00           6.740           5.260           5.260           0.350 
13.05.2006  00:00:00           6.150           4.770           4.770           0.390 
14.05.2006  00:00:00          16.410           3.570           3.570           0.630 
15.05.2006  00:00:00          10.260           2.870           2.870           1.020 
16.05.2006  00:00:00           3.290           3.420           3.420           0.690 
17.05.2006  00:00:00           0.000           5.180           5.180           0.500 
18.05.2006  00:00:00           0.000           6.330           6.330           0.350 
19.05.2006  00:00:00           0.320           8.310           8.310           0.380 
20.05.2006  00:00:00           0.000          10.580          10.580           0.370 
21.05.2006  00:00:00           0.390           9.230           9.230           0.330 
22.05.2006  00:00:00           3.360           6.570           6.570           0.505 
23.05.2006  00:00:00           1.210           8.720           8.720           0.680 
24.05.2006  00:00:00          17.970           5.130           5.130           1.870 
25.05.2006  00:00:00           2.760           5.130           5.130           0.660 
26.05.2006  00:00:00           1.910           6.250           6.250           0.400 
27.05.2006  00:00:00           0.000           5.650           5.650           0.300 
28.05.2006  00:00:00           0.000           8.180           8.180           0.230 
29.05.2006  00:00:00           1.000           7.910           7.910           0.210 
30.05.2006  00:00:00           2.420           6.840           6.840           0.200 
31.05.2006  00:00:00           5.470           5.970           5.970           0.190 
01.06.2006  00:00:00           3.100           4.540           4.540           0.170 
02.06.2006  00:00:00           1.510           7.340           7.340           0.460 
03.06.2006  00:00:00          11.380           8.150           8.150           1.390 
04.06.2006  00:00:00          12.940           6.010           6.010           2.870 
05.06.2006  00:00:00          17.490           5.470           5.470           1.740 
06.06.2006  00:00:00           0.000           6.710           6.710           0.690 
07.06.2006  00:00:00           2.330           8.210           8.210           0.610 
08.06.2006  00:00:00           1.470           8.710           8.710           0.500 
09.06.2006  00:00:00           2.190           8.930           8.930           0.360 
10.06.2006  00:00:00           0.000           9.580           9.580           0.150 
11.06.2006  00:00:00           0.000          13.530          13.530           0.150 
12.06.2006  00:00:00           0.000          14.450          14.450           0.150 
13.06.2006  00:00:00           0.000          19.340          19.340           0.150 
14.06.2006  00:00:00           2.590          11.910          11.910           0.150 
15.06.2006  00:00:00           1.220           8.080           8.080           0.150 
16.06.2006  00:00:00           0.510           9.740           9.740           0.150 
17.06.2006  00:00:00           1.220          10.540          10.540           0.150 
18.06.2006  00:00:00           5.010          10.640          10.640           0.230 
19.06.2006  00:00:00           4.570          12.450          12.450           0.240 
20.06.2006  00:00:00           0.280          11.410          11.410           0.290 
21.06.2006  00:00:00           0.240          13.060          13.060           0.220 
22.06.2006  00:00:00           3.830          11.910          11.910           0.250 
23.06.2006  00:00:00           4.480          10.590          10.590           0.220 
24.06.2006  00:00:00           2.270           9.500           9.500           0.250 
25.06.2006  00:00:00           4.160          10.380          10.380           0.400 
26.06.2006  00:00:00           5.240          10.270          10.270           0.370 
27.06.2006  00:00:00           0.170           9.760           9.760           0.240 
28.06.2006  00:00:00           0.000           9.560           9.560           0.190 
29.06.2006  00:00:00           0.000           9.610           9.610           0.160 
30.06.2006  00:00:00           0.000          12.870          12.870           0.150 
01.07.2006  00:00:00           0.000          16.460          16.460           0.140 
02.07.2006  00:00:00           0.000          15.250          15.250           0.130 
03.07.2006  00:00:00           0.000          16.140          16.140           0.200 
04.07.2006  00:00:00           7.400          13.400          13.400           1.210 
05.07.2006  00:00:00           0.000          13.140          13.140           0.340 
06.07.2006  00:00:00           0.000          17.280          17.280           0.200 
07.07.2006  00:00:00           0.000          17.770          17.770           0.160 
08.07.2006  00:00:00          11.730          15.460          15.460           0.620 
09.07.2006  00:00:00           7.720          12.900          12.900           0.800 
10.07.2006  00:00:00           3.430          13.930          13.930           0.730 
