date        time     P_O_Jogla_877mo  T_Jogla_877moh  T_Jogla_877moh         Q_Jogla 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
24.01.2001  00:00:00           9.590          -5.550          -5.550           0.160 
25.01.2001  00:00:00          25.080          -1.410          -1.410           0.220 
26.01.2001  00:00:00          11.140          -1.380          -1.380           0.210 
27.01.2001  00:00:00           9.910          -1.820          -1.820           0.200 
28.01.2001  00:00:00           0.000          -2.410          -2.410           0.180 
29.01.2001  00:00:00           0.000          -3.970          -3.970           0.160 
30.01.2001  00:00:00           0.000          -9.670          -9.670           0.150 
31.01.2001  00:00:00           0.000          -8.800          -8.800           0.140 
01.02.2001  00:00:00           0.000         -14.290         -14.290           0.130 
02.02.2001  00:00:00           0.000         -19.520         -19.520           0.130 
03.02.2001  00:00:00           0.000         -18.670         -18.670           0.120 
04.02.2001  00:00:00           0.000         -21.840         -21.840           0.120 
05.02.2001  00:00:00           0.000         -24.790         -24.790           0.120 
06.02.2001  00:00:00           0.000         -16.060         -16.060           0.110 
07.02.2001  00:00:00          16.330          -9.710          -9.710           0.140 
08.02.2001  00:00:00          17.200          -4.370          -4.370           0.170 
09.02.2001  00:00:00           1.020         -12.340         -12.340           0.140 
10.02.2001  00:00:00           0.000         -18.170         -18.170           0.130 
11.02.2001  00:00:00          10.240          -7.350          -7.350           0.130 
12.02.2001  00:00:00          16.260           0.280           0.280           0.240 
13.02.2001  00:00:00           4.840          -1.120          -1.120           0.200 
14.02.2001  00:00:00           0.910          -0.120          -0.120           0.160 
15.02.2001  00:00:00           0.000          -5.190          -5.190           0.140 
16.02.2001  00:00:00           0.000          -3.200          -3.200           0.130 
17.02.2001  00:00:00           0.150          -8.710          -8.710           0.120 
18.02.2001  00:00:00           0.770          -1.560          -1.560           0.120 
19.02.2001  00:00:00           0.000          -1.200          -1.200           0.120 
20.02.2001  00:00:00           0.090          -2.150          -2.150           0.110 
21.02.2001  00:00:00           7.430          -1.870          -1.870           0.120 
22.02.2001  00:00:00           5.080          -6.680          -6.680           0.140 
23.02.2001  00:00:00           0.000         -12.880         -12.880           0.130 
24.02.2001  00:00:00           0.000         -12.480         -12.480           0.120 
25.02.2001  00:00:00           0.160         -10.690         -10.690           0.110 
26.02.2001  00:00:00           4.630         -16.900         -16.900           0.110 
27.02.2001  00:00:00           4.900         -11.560         -11.560           0.110 
28.02.2001  00:00:00           0.510         -18.820         -18.820           0.110 
01.03.2001  00:00:00           0.000         -20.570         -20.570           0.100 
02.03.2001  00:00:00           0.250         -22.470         -22.470           0.100 
03.03.2001  00:00:00           4.290         -18.570         -18.570           0.100 
04.03.2001  00:00:00           1.780         -10.660         -10.660           0.100 
05.03.2001  00:00:00           0.450         -11.690         -11.690           0.090 
06.03.2001  00:00:00          11.080          -4.210          -4.210           0.100 
07.03.2001  00:00:00           1.810          -7.470          -7.470           0.100 
08.03.2001  00:00:00           0.000          -4.300          -4.300           0.100 
09.03.2001  00:00:00           0.880          -1.710          -1.710           0.100 
10.03.2001  00:00:00           5.470          -2.300          -2.300           0.100 
11.03.2001  00:00:00           3.190           0.100           0.100           0.190 
12.03.2001  00:00:00           7.610          -1.240          -1.240           0.330 
13.03.2001  00:00:00          10.630          -1.940          -1.940           0.270 
14.03.2001  00:00:00           2.750          -5.750          -5.750           0.230 
15.03.2001  00:00:00           0.000          -5.660          -5.660           0.190 
16.03.2001  00:00:00           3.130          -6.710          -6.710           0.150 
17.03.2001  00:00:00           0.000          -8.670          -8.670           0.140 
