date        time     P_O_Lye2_178moh   T_Lye2_178moh   T_Lye2_178moh          Q_Lye2 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
30.04.2006  00:00:00           0.250           6.150           6.150           0.010 
01.05.2006  00:00:00           1.450           6.050           6.050           0.010 
02.05.2006  00:00:00           6.050           6.900           6.900           0.010 
03.05.2006  00:00:00           0.400           7.650           7.650           0.010 
04.05.2006  00:00:00           0.500          12.400          12.400           0.010 
05.05.2006  00:00:00           0.000          14.450          14.450           0.010 
06.05.2006  00:00:00           0.000          16.250          16.250           0.010 
07.05.2006  00:00:00           0.000          14.950          14.950           0.000 
08.05.2006  00:00:00           0.000          15.550          15.550           0.000 
09.05.2006  00:00:00           0.000          14.700          14.700           0.000 
10.05.2006  00:00:00           0.000          13.500          13.500           0.000 
11.05.2006  00:00:00           0.000          10.650          10.650           0.000 
12.05.2006  00:00:00           0.000           8.050           8.050           0.000 
13.05.2006  00:00:00           3.050           6.200           6.200           0.000 
14.05.2006  00:00:00           0.900           6.450           6.450           0.000 
15.05.2006  00:00:00           0.150           4.700           4.700           0.000 
16.05.2006  00:00:00           0.000           5.900           5.900           0.010 
17.05.2006  00:00:00           3.950           6.800           6.800           0.030 
18.05.2006  00:00:00          15.300           8.250           8.250           0.020 
19.05.2006  00:00:00           2.500          10.050          10.050           0.020 
20.05.2006  00:00:00           1.750           9.100           9.100           0.010 
21.05.2006  00:00:00           0.000           9.250           9.250           0.010 
22.05.2006  00:00:00           2.600           8.250           8.250           0.010 
23.05.2006  00:00:00           9.550           8.550           8.550           0.020 
24.05.2006  00:00:00           4.500           5.950           5.950           0.020 
25.05.2006  00:00:00           2.750           5.250           5.250           0.010 
26.05.2006  00:00:00           3.850           6.350           6.350           0.010 
27.05.2006  00:00:00           0.100           8.100           8.100           0.010 
28.05.2006  00:00:00           3.850           7.450           7.450           0.010 
29.05.2006  00:00:00           1.350           7.900           7.900           0.010 
30.05.2006  00:00:00           0.000           7.950           7.950           0.010 
31.05.2006  00:00:00           0.100           9.650           9.650           0.010 
01.06.2006  00:00:00           0.000           7.750           7.750           0.010 
02.06.2006  00:00:00           2.300           9.350           9.350           0.030 
03.06.2006  00:00:00          10.900           8.600           8.600           0.040 
04.06.2006  00:00:00           0.150           7.900           7.900           0.020 
05.06.2006  00:00:00           0.000           6.200           6.200           0.010 
06.06.2006  00:00:00           0.000           7.450           7.450           0.010 
07.06.2006  00:00:00           0.000          10.150          10.150           0.010 
08.06.2006  00:00:00           0.250          10.850          10.850           0.010 
09.06.2006  00:00:00           0.000          10.200          10.200           0.010 
10.06.2006  00:00:00           0.100          12.450          12.450           0.010 
11.06.2006  00:00:00           0.100          10.750          10.750           0.010 
12.06.2006  00:00:00           0.000          16.850          16.850           0.010 
13.06.2006  00:00:00           0.000          18.550          18.550           0.010 
14.06.2006  00:00:00           0.100          13.450          13.450           0.010 
15.06.2006  00:00:00           0.000          10.350          10.350           0.010 
16.06.2006  00:00:00           0.000          12.950          12.950           0.010 
17.06.2006  00:00:00           0.000          13.850          13.850           0.010 
18.06.2006  00:00:00           0.000          14.450          14.450           0.010 
19.06.2006  00:00:00           1.500          14.250          14.250           0.010 
20.06.2006  00:00:00           0.000          14.950          14.950           0.010 
21.06.2006  00:00:00          10.950          13.050          13.050           0.050 
22.06.2006  00:00:00          14.650          11.100          11.100           0.050 
23.06.2006  00:00:00          15.600          10.800          10.800           0.060 
24.06.2006  00:00:00           0.000          11.050          11.050           0.030 
25.06.2006  00:00:00           1.900          11.750          11.750           0.030 
26.06.2006  00:00:00           0.100          11.150          11.150           0.020 
27.06.2006  00:00:00           0.000          13.350          13.350           0.010 
28.06.2006  00:00:00           0.000          11.600          11.600           0.010 
29.06.2006  00:00:00           0.000          11.450          11.450           0.010 
30.06.2006  00:00:00           0.000          13.650          13.650           0.010 
01.07.2006  00:00:00           0.000          15.350          15.350           0.010 
02.07.2006  00:00:00           0.000          17.100          17.100           0.010 
03.07.2006  00:00:00           0.000          19.300          19.300           0.010 
04.07.2006  00:00:00           0.100          18.500          18.500           0.010 
