date        time     P_O_Fura_561moh   T_Fura_561moh   T_Fura_561moh          Q_Fura 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
16.11.2008  00:00:00           0.000           1.330           1.330           0.700 
17.11.2008  00:00:00           0.060          -2.060          -2.060           0.470 
18.11.2008  00:00:00           3.470          -2.950          -2.950           0.430 
19.11.2008  00:00:00           0.000          -3.010          -3.010           0.340 
20.11.2008  00:00:00           7.450          -3.460          -3.460           0.340 
21.11.2008  00:00:00           0.000          -6.480          -6.480           0.240 
22.11.2008  00:00:00           0.000          -5.310          -5.310           0.270 
23.11.2008  00:00:00           0.010          -1.230          -1.230           0.270 
24.11.2008  00:00:00           0.000          -5.230          -5.230           0.230 
25.11.2008  00:00:00           0.000          -1.860          -1.860           0.240 
26.11.2008  00:00:00           0.000          -0.920          -0.920           0.220 
27.11.2008  00:00:00           0.000           0.630           0.630           0.220 
28.11.2008  00:00:00           0.260           2.300           2.300           0.240 
29.11.2008  00:00:00           0.000          -4.430          -4.430           0.230 
30.11.2008  00:00:00          14.060          -1.540          -1.540           0.230 
01.12.2008  00:00:00           2.540          -6.690          -6.690           0.220 
02.12.2008  00:00:00           0.710          -8.430          -8.430           0.210 
03.12.2008  00:00:00           6.990          -3.030          -3.030           0.210 
04.12.2008  00:00:00           3.450          -3.780          -3.780           0.210 
05.12.2008  00:00:00           0.020          -6.280          -6.280           0.210 
06.12.2008  00:00:00           3.020          -4.610          -4.610           0.210 
07.12.2008  00:00:00           0.000          -5.810          -5.810           0.190 
08.12.2008  00:00:00           3.500         -11.540         -11.540           0.190 
09.12.2008  00:00:00           2.470          -7.390          -7.390           0.180 
10.12.2008  00:00:00           0.000         -14.170         -14.170           0.170 
11.12.2008  00:00:00           0.000         -10.280         -10.280           0.180 
12.12.2008  00:00:00           1.390          -7.030          -7.030           0.170 
13.12.2008  00:00:00           0.000          -8.490          -8.490           0.170 
14.12.2008  00:00:00           0.120          -7.390          -7.390           0.170 
15.12.2008  00:00:00           0.040          -4.140          -4.140           0.150 
16.12.2008  00:00:00           0.000          -3.750          -3.750           0.150 
17.12.2008  00:00:00           0.320          -1.810          -1.810           0.160 
18.12.2008  00:00:00           1.100          -1.970          -1.970           0.390 
19.12.2008  00:00:00           4.140           0.910           0.910           2.400 
20.12.2008  00:00:00           2.460          -7.390          -7.390           1.120 
21.12.2008  00:00:00           1.690          -2.660          -2.660           0.650 
22.12.2008  00:00:00           4.070          -3.770          -3.770           0.510 
23.12.2008  00:00:00           0.000          -2.140          -2.140           0.390 
24.12.2008  00:00:00           0.000          -4.910          -4.910           0.320 
25.12.2008  00:00:00           0.000          -7.720          -7.720           0.310 
26.12.2008  00:00:00           0.000          -8.540          -8.540           0.310 
27.12.2008  00:00:00           0.000         -10.360         -10.360           0.310 
28.12.2008  00:00:00           0.000         -10.490         -10.490           0.310 
29.12.2008  00:00:00           0.000         -13.820         -13.820           0.310 
30.12.2008  00:00:00           0.000         -18.300         -18.300           0.310 
31.12.2008  00:00:00           0.000         -17.960         -17.960           0.310 
01.01.2009  00:00:00           0.000          -8.880          -8.880           0.310 
02.01.2009  00:00:00           0.000         -11.820         -11.820           0.310 
03.01.2009  00:00:00           0.000          -7.100          -7.100           0.310 
04.01.2009  00:00:00           0.000         -11.600         -11.600           0.310 
05.01.2009  00:00:00           0.000         -18.270         -18.270           0.310 
06.01.2009  00:00:00           0.000          -8.590          -8.590           0.330 
07.01.2009  00:00:00           0.000          -6.080          -6.080           0.680 
08.01.2009  00:00:00           0.000         -11.100         -11.100           1.180 
09.01.2009  00:00:00           0.000          -4.550          -4.550           0.930 
10.01.2009  00:00:00           0.000          -3.580          -3.580           0.290 
11.01.2009  00:00:00           0.000          -4.300          -4.300           0.180 
12.01.2009  00:00:00           0.000           1.510           1.510           0.170 
13.01.2009  00:00:00           0.000           2.750           2.750           0.120 
14.01.2009  00:00:00           0.000          -0.250          -0.250           0.260 
15.01.2009  00:00:00           0.000          -7.410          -7.410           0.240 
16.01.2009  00:00:00           0.000         -16.840         -16.840           0.190 
17.01.2009  00:00:00           5.540         -12.140         -12.140           0.180 
18.01.2009  00:00:00           0.000          -8.330          -8.330           0.160 
19.01.2009  00:00:00           7.950          -6.560          -6.560           0.140 
20.01.2009  00:00:00           4.270          -4.630          -4.630           0.140 
21.01.2009  00:00:00           5.860          -2.520          -2.520           0.140 
22.01.2009  00:00:00           0.030          -1.330          -1.330           0.130 
23.01.2009  00:00:00           0.000          -3.060          -3.060           0.130 
24.01.2009  00:00:00           1.290          -3.850          -3.850           0.130 
25.01.2009  00:00:00          13.130          -4.070          -4.070           0.140 
26.01.2009  00:00:00           1.390          -3.290          -3.290           0.140 
27.01.2009  00:00:00           0.000          -6.160          -6.160           0.130 
28.01.2009  00:00:00           0.000         -10.180         -10.180           0.130 
29.01.2009  00:00:00           0.720         -10.570         -10.570           0.130 
30.01.2009  00:00:00           0.000         -10.760         -10.760           0.130 
31.01.2009  00:00:00           0.000         -12.570         -12.570           0.120 
01.02.2009  00:00:00           0.000         -16.630         -16.630           0.120 
02.02.2009  00:00:00           0.000         -15.950         -15.950           0.120 
03.02.2009  00:00:00           0.000         -16.420         -16.420           0.110 
04.02.2009  00:00:00           0.000         -16.910         -16.910           0.110 
05.02.2009  00:00:00           5.850          -9.960          -9.960           0.110 
06.02.2009  00:00:00           0.000         -11.240         -11.240           0.100 
07.02.2009  00:00:00           4.940          -9.160          -9.160           0.100 
08.02.2009  00:00:00          14.170         -10.190         -10.190           0.100 
09.02.2009  00:00:00           2.080         -10.510         -10.510           0.100 
10.02.2009  00:00:00           0.000         -14.070         -14.070           0.100 
11.02.2009  00:00:00           0.000         -18.190         -18.190           0.100 
12.02.2009  00:00:00           0.000         -21.070         -21.070           0.090 
13.02.2009  00:00:00           0.000         -16.530         -16.530           0.090 
14.02.2009  00:00:00           0.000         -11.020         -11.020           0.090 
15.02.2009  00:00:00           0.000         -13.320         -13.320           0.090 
16.02.2009  00:00:00           2.130         -11.700         -11.700           0.090 
17.02.2009  00:00:00           1.500         -12.010         -12.010           0.090 
18.02.2009  00:00:00           1.620         -10.910         -10.910           0.080 
19.02.2009  00:00:00           1.170          -7.430          -7.430           0.080 
20.02.2009  00:00:00           3.950         -10.440         -10.440           0.080 
21.02.2009  00:00:00           1.010          -8.020          -8.020           0.080 
22.02.2009  00:00:00           7.680          -6.420          -6.420           0.090 
23.02.2009  00:00:00           0.030          -2.440          -2.440           0.090 
24.02.2009  00:00:00           0.000          -2.120          -2.120           0.090 
25.02.2009  00:00:00           0.000          -3.060          -3.060           0.090 
26.02.2009  00:00:00           3.190          -4.200          -4.200           0.090 
27.02.2009  00:00:00           0.000          -4.440          -4.440           0.090 
28.02.2009  00:00:00           0.000         -10.180         -10.180           0.090 
01.03.2009  00:00:00           2.400          -9.470          -9.470           0.090 
02.03.2009  00:00:00           3.740          -5.970          -5.970           0.090 
03.03.2009  00:00:00           3.950          -3.910          -3.910           0.100 
04.03.2009  00:00:00           0.000          -1.630          -1.630           0.100 
05.03.2009  00:00:00           0.770          -1.560          -1.560           0.100 
06.03.2009  00:00:00           0.210          -3.010          -3.010           0.100 
07.03.2009  00:00:00           0.000          -3.310          -3.310           0.100 
08.03.2009  00:00:00           3.270          -4.150          -4.150           0.110 
09.03.2009  00:00:00           7.070          -3.170          -3.170           0.110 
10.03.2009  00:00:00           0.570          -2.440          -2.440           0.110 
11.03.2009  00:00:00           0.000          -3.920          -3.920           0.110 
12.03.2009  00:00:00           0.000          -4.100          -4.100           0.110 
13.03.2009  00:00:00           3.590          -4.270          -4.270           0.120 
14.03.2009  00:00:00           0.000          -3.960          -3.960           0.120 
15.03.2009  00:00:00           0.000          -3.940          -3.940           0.120 
16.03.2009  00:00:00           0.000          -1.670          -1.670           0.120 
17.03.2009  00:00:00           0.000          -0.140          -0.140           0.130 
18.03.2009  00:00:00           0.000          -0.750          -0.750           0.130 
19.03.2009  00:00:00           0.000          -1.730          -1.730           0.130 
20.03.2009  00:00:00           0.000          -2.510          -2.510           0.130 
21.03.2009  00:00:00           0.000           1.460           1.460           0.130 
22.03.2009  00:00:00           0.000           2.690           2.690           0.140 
23.03.2009  00:00:00           2.020          -0.970          -0.970           0.150 
24.03.2009  00:00:00           0.000          -5.430          -5.430           0.150 
25.03.2009  00:00:00           0.000         -10.080         -10.080           0.140 
26.03.2009  00:00:00           0.000          -9.790          -9.790           0.140 
27.03.2009  00:00:00           0.000          -7.360          -7.360           0.140 
28.03.2009  00:00:00           6.200          -5.780          -5.780           0.140 
29.03.2009  00:00:00           0.000          -7.190          -7.190           0.140 
30.03.2009  00:00:00           0.000          -4.830          -4.830           0.130 
31.03.2009  00:00:00           0.690          -1.470          -1.470           0.130 
01.04.2009  00:00:00           0.000           0.020           0.020           0.130 
02.04.2009  00:00:00           0.000           2.320           2.320           0.160 
03.04.2009  00:00:00           0.000           3.440           3.440           0.290 
04.04.2009  00:00:00           0.000           3.510           3.510           0.400 
05.04.2009  00:00:00           0.000           3.280           3.280           0.480 
06.04.2009  00:00:00           0.000           3.590           3.590           0.580 
07.04.2009  00:00:00           0.000           1.920           1.920           1.460 
08.04.2009  00:00:00           8.290           3.000           3.000           4.750 
09.04.2009  00:00:00          14.820          -0.150          -0.150           6.190 
10.04.2009  00:00:00           1.270           1.720           1.720           5.380 
11.04.2009  00:00:00           0.000           3.270           3.270           5.010 
12.04.2009  00:00:00           0.000           4.440           4.440           5.150 
13.04.2009  00:00:00           0.000           4.980           4.980           5.680 
14.04.2009  00:00:00           0.000           3.890           3.890           5.280 
15.04.2009  00:00:00           0.000           3.710           3.710           5.390 
16.04.2009  00:00:00           0.000           4.860           4.860           6.030 
17.04.2009  00:00:00           3.170           2.310           2.310           5.470 
18.04.2009  00:00:00           0.000           3.370           3.370           4.180 
19.04.2009  00:00:00           0.000          -0.240          -0.240           3.440 
20.04.2009  00:00:00           0.000           4.370           4.370           3.800 
21.04.2009  00:00:00           0.000           2.410           2.410           3.490 
22.04.2009  00:00:00           0.000           3.370           3.370           4.740 
