,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
570,[0.2676459],[0.678],[0.858],[0.18],[0.5903541],[0.18]
571,[0.1657744],[0.623],[0.793],[0.17],[0.62722559],[0.17]
572,[0.0968219],[0.596],[0.756],[0.16],[0.6591781],[0.16]
573,[-0.05963543],[0.592],[0.802],[0.21],[0.86163543],[0.21]
574,[-0.04942086],[-0.39],[1.16],[1.55],[1.20942086],[1.55]
575,[0.0341188],[-3.737],[1.063],[4.8],[1.0288812],[4.8]
576,[0.04365039],[-24.359],[0.941],[25.3],[0.89734961],[25.3]
577,[0.01488459],[-23.326],[0.844],[24.17],[0.82911541],[24.17]
578,[-0.03455189],[-22.287],[0.753],[23.04],[0.78755189],[23.04]
579,[-0.09986687],[-21.2],[0.71],[21.91],[0.80986687],[21.91]
580,[-0.13948601],[-20.096],[0.684],[20.78],[0.82348601],[20.78]
581,[-0.0954541],[-19.027],[0.623],[19.65],[0.7184541],[19.65]
582,[-0.12586707],[-17.968],[0.552],[18.52],[0.67786707],[18.52]
583,[-0.16946143],[-16.878],[0.512],[17.39],[0.68146143],[17.39]
584,[-0.156632],[-15.78],[0.48],[16.26],[0.63663201],[16.26]
585,[-0.1916011],[-14.602],[0.528],[15.13],[0.7196011],[15.13]
586,[-0.01169589],[-12.748],[1.252],[14.],[1.26369589],[14.]
587,[-0.13379091],[-11.495],[1.325],[12.82],[1.45879091],[12.82]
588,[-0.12826002],[0.449],[0.879],[0.43],[1.00726002],[0.43]
589,[-0.09731805],[0.482],[0.782],[0.3],[0.87931805],[0.3]
590,[-0.16334492],[0.428],[0.768],[0.34],[0.93134492],[0.34]
591,[-0.1565823],[0.401],[0.841],[0.44],[0.9975823],[0.44]
592,[-0.16402876],[0.328],[0.838],[0.51],[1.00202876],[0.51]
593,[0.03778177],[1.133],[1.683],[0.55],[1.64521823],[0.55]
594,[-0.1331858],[1.202],[1.602],[0.4],[1.7351858],[0.4]
595,[0.7034745],[0.576],[1.036],[0.46],[0.33252548],[0.46]
596,[0.69026065],[0.588],[0.948],[0.36],[0.25773935],[0.36]
597,[0.32033736],[0.561],[0.851],[0.29],[0.53066264],[0.29]
598,[0.21624888],[0.498],[0.758],[0.26],[0.54175112],[0.26]
599,[0.09845656],[0.45],[0.69],[0.24],[0.59154344],[0.24]
600,[0.0269922],[0.376],[0.636],[0.26],[0.6090078],[0.26]
601,[-0.06265751],[0.341],[0.581],[0.24],[0.64365751],[0.24]
602,[-0.03554741],[0.301],[0.531],[0.23],[0.56654741],[0.23]
603,[-0.08672696],[0.268],[0.508],[0.24],[0.59472696],[0.24]
604,[-0.26942104],[0.184],[0.544],[0.36],[0.81342104],[0.36]
605,[-0.04918957],[0.063],[0.943],[0.88],[0.99218957],[0.88]
606,[-0.28657633],[-0.016],[0.884],[0.9],[1.17057633],[0.9]
607,[0.94753253],[-0.443],[1.557],[2.],[0.60946747],[2.]
608,[1.6153212],[0.026],[4.156],[4.13],[2.54067884],[4.13]
609,[0.5659933],[0.84],[3.69],[2.85],[3.12400669],[2.85]
610,[0.19876593],[0.413],[1.923],[1.51],[1.72423407],[1.51]
611,[0.04026398],[0.108],[1.248],[1.14],[1.20773602],[1.14]
612,[-0.04713506],[0.24],[1.1],[0.86],[1.14713506],[0.86]
613,[-0.06221002],[0.219],[0.969],[0.75],[1.03121002],[0.75]
614,[-0.17730743],[0.177],[0.857],[0.68],[1.03430743],[0.68]
615,[-0.23314047],[0.164],[0.774],[0.61],[1.00714047],[0.61]
616,[-0.28119552],[-0.043],[0.727],[0.77],[1.00819552],[0.77]
617,[-0.2735762],[-0.2],[0.72],[0.92],[0.9935762],[0.92]
618,[-0.2912712],[-0.149],[0.691],[0.84],[0.98227121],[0.84]
619,[-0.2147429],[-0.023],[0.617],[0.64],[0.8317429],[0.64]
620,[-0.2179423],[-0.006],[0.544],[0.55],[0.7619423],[0.55]
621,[-0.3052385],[-0.169],[0.511],[0.68],[0.81623849],[0.68]
622,[-0.2702685],[0.014],[1.134],[1.12],[1.4042685],[1.12]
623,[0.0384604],[-0.356],[3.004],[3.36],[2.9655396],[3.36]
624,[2.1024714],[-4.008],[11.912],[15.92],[9.80952865],[15.92]
625,[3.2452912],[-3.472],[15.048],[18.52],[11.80270877],[18.52]
626,[2.4536676],[-0.837],[9.583],[10.42],[7.12933236],[10.42]
627,[1.2973027],[-3.818],[7.772],[11.59],[6.47469728],[11.59]
628,[0.98865634],[-1.871],[10.219],[12.09],[9.23034366],[12.09]
629,[1.0920959],[1.443],[11.343],[9.9],[10.25090415],[9.9]
630,[1.3154478],[1.786],[11.236],[9.45],[9.92055219],[9.45]
631,[1.5820103],[-1.217],[11.003],[12.22],[9.42098973],[12.22]
632,[1.0527391],[-0.867],[6.843],[7.71],[5.79026086],[7.71]
633,[0.4400823],[-0.301],[3.449],[3.75],[3.00891769],[3.75]
634,[-0.26518393],[0.219],[2.189],[1.97],[2.45418393],[1.97]
635,[-0.15647215],[0.497],[2.177],[1.68],[2.33347215],[1.68]
636,[-0.06505853],[0.333],[2.253],[1.92],[2.31805853],[1.92]
637,[0.5671917],[0.246],[2.776],[2.53],[2.20880828],[2.53]
638,[0.7547806],[-0.64],[3.06],[3.7],[2.30521941],[3.7]
639,[1.5924575],[-1.459],[3.791],[5.25],[2.19854247],[5.25]
640,[2.1725469],[0.396],[7.386],[6.99],[5.21345314],[6.99]
641,[2.3679626],[2.09],[9.19],[7.1],[6.8220374],[7.1]
642,[2.3566232],[0.843],[9.363],[8.52],[7.00637683],[8.52]
643,[1.6592581],[-1.144],[5.756],[6.9],[4.09674187],[6.9]
644,[1.1252667],[-1.371],[5.039],[6.41],[3.91373333],[6.41]
645,[1.3192317],[0.299],[6.569],[6.27],[5.24976825],[6.27]
646,[1.1806426],[-0.179],[5.781],[5.96],[4.6003574],[5.96]
647,[1.5801504],[0.348],[6.238],[5.89],[4.65784963],[5.89]
648,[1.889905],[0.366],[6.846],[6.48],[4.95609502],[6.48]
649,[2.2315605],[0.221],[7.631],[7.41],[5.39943953],[7.41]
650,[2.4376168],[0.564],[8.094],[7.53],[5.65638317],[7.53]
651,[2.662792],[1.899],[14.739],[12.84],[12.07620803],[12.84]
652,[3.016058],[3.703],[9.623],[5.92],[6.60694203],[5.92]
653,[1.2148306],[0.712],[4.052],[3.34],[2.83716936],[3.34]
654,[0.12912542],[0.599],[2.979],[2.38],[2.84987458],[2.38]
655,[0.21581778],[0.043],[2.793],[2.75],[2.57718222],[2.75]
656,[0.8729793],[-0.457],[3.073],[3.53],[2.20002072],[3.53]
657,[1.9428122],[-1.235],[3.955],[5.19],[2.0121878],[5.19]
658,[0.8961445],[1.303],[3.753],[2.45],[2.85685549],[2.45]
659,[0.11623287],[0.757],[2.637],[1.88],[2.52076713],[1.88]
660,[0.42912528],[0.369],[2.259],[1.89],[1.82987472],[1.89]
661,[1.6428144],[-0.119],[2.641],[2.76],[0.9981856],[2.76]
662,[1.8246455],[0.097],[2.837],[2.74],[1.01235448],[2.74]
663,[2.260094],[0.235],[3.065],[2.83],[0.80490607],[2.83]
664,[2.4928627],[-0.912],[3.868],[4.78],[1.3751373],[4.78]
665,[2.321132],[0.567],[4.137],[3.57],[1.81586806],[3.57]
666,[1.723237],[0.888],[3.448],[2.56],[1.72476296],[2.56]
667,[1.7646573],[-0.848],[2.962],[3.81],[1.19734274],[3.81]
668,[2.2438958],[0.446],[3.486],[3.04],[1.24210423],[3.04]
669,[2.7951512],[0.018],[4.008],[3.99],[1.21284877],[3.99]
670,[1.8745563],[0.652],[3.312],[2.66],[1.4374437],[2.66]
671,[1.7286162],[0.182],[2.392],[2.21],[0.66338376],[2.21]
672,[2.090139],[-0.768],[2.132],[2.9],[0.04186109],[2.9]
673,[2.1712537],[0.348],[2.038],[1.69],[-0.13325368],[1.69]
674,[2.2215004],[-0.152],[1.928],[2.08],[-0.2935004],[2.08]
675,[2.051748],[0.316],[1.896],[1.58],[-0.15574804],[1.58]
